time	I_imag	d/dt
0	1,24611563723e-05	0
900	2,6054382767e-05	2,26553773245e-07
1800	5,95594251185e-06	-3,34974004252e-07
2700	3,55583180284e-05	4,93372925276e-07
3600	3,55419186496e-05	-2,73322980234e-10
4500	2,74746223152e-05	-1,34454938907e-07
5400	1,9404820187e-05	-1,34496702136e-07
6300	1,57977569541e-05	-6,01177205483e-08
7200	2,06858643712e-05	8,14684569513e-08
8100	1,34299647452e-05	-1,20931660434e-07
9000	1,20923717196e-05	-2,22932170928e-08
9900	1,23389226492e-05	4,10918215985e-09
10800	1,01241908533e-05	-3,69121965986e-08
11700	1,13027410409e-05	1,96425031267e-08
12600	1,30394982404e-05	2,89459533252e-08
13500	1,49611671222e-05	3,20278146968e-08
14400	1,15946057235e-05	-5,61093566449e-08
15300	9,10040559901e-06	-4,15700020753e-08
16200	1,25511035353e-05	5,75116322711e-08
17100	1,13181480125e-05	-2,05492587136e-08
18000	1,14000468819e-05	1,36498115805e-09
18900	1,2086559721e-05	1,14418806512e-08
19800	1,04441969822e-05	-2,73727123143e-08
20700	1,23699726176e-05	3,20962605905e-08
21600	1,44762029469e-05	3,51038388223e-08
22500	1,64193220189e-05	3,23853178659e-08
23400	1,78302509142e-05	2,35154815884e-08
24300	1,67309519853e-05	-1,83216488142e-08
25200	2,1174265865e-05	7,40552313281e-08
26100	2,20633928606e-05	1,48187832598e-08
27000	2,16713391426e-05	-6,53422863275e-09
27900	2,74285294036e-05	9,59531710153e-08
28800	4,1004140542e-05	2,26260185641e-07
29700	5,64081999479e-05	2,56734323431e-07
30600	0,000108799740414	8,7319234111e-07
31500	8,514724201e-05	-3,94208306742e-07
32400	5,52786203584e-05	-4,97810360859e-07
33300	6,42150241966e-05	1,4894006397e-07
34200	5,44975442287e-05	-1,61957999466e-07
35100	0,000111479991507	9,49707454635e-07
36000	2,49994534975e-05	-1,44134230015e-06
36900	3,43559214925e-05	1,5594113325e-07
37800	6,28395376734e-05	4,74726936348e-07
38700	-5,48533395137e-07	-1,05646785114e-06
39600	-7,56937286378e-06	-1,17013991144e-07
40500	-2,07217735524e-05	-2,19206678144e-07
41400	-4,25935535717e-05	-3,64529666989e-07
42300	-2,62076775029e-05	2,7309793448e-07
43200	-2,00630424775e-05	1,02410583758e-07
44100	-4,76379497629e-06	2,54987458353e-07
45000	-1,39796333436e-05	-1,53597306121e-07
45900	-1,438948272e-05	-6,83082294073e-09
46800	-6,78196780835e-06	1,26791915194e-07
47700	-2,97875019736e-05	-3,8342556942e-07
48600	-1,11566618685e-05	3,1051400175e-07
49500	-5,42850411637e-06	9,54692958695e-08
50400	-4,33565031722e-05	-6,32133317597e-07
51300	-6,5244101076e-06	6,13868217743e-07
52200	-3,20511124318e-06	5,53216477404e-08
53100	3,10293809603e-05	5,70574870057e-07
54000	2,93950767719e-05	-2,72384031397e-08
54900	-6,79194809519e-05	-1,6219092954e-06
55800	1,13978928212e-05	1,32195622955e-06
56700	0,000108098180069	1,61167145413e-06
57600	4,45010904141e-05	-1,05995149425e-06
58500	7,15264092532e-06	-6,22474158146e-07
59400	9,03827772409e-06	3,14272799796e-08
60300	8,02700532702e-06	-1,68545399512e-08
61200	1,07220771522e-05	4,49178637531e-08
62100	8,18525743955e-06	-4,22803285442e-08
63000	8,4840951268e-06	4,98062812079e-09
63900	7,92430276963e-06	-9,32987261948e-09
64800	0,000107837409897	1,66521845211e-06
65700	9,3449590419e-06	-1,64154084758e-06
66600	8,73831018102e-06	-1,0110814348e-08
67500	6,86823233446e-06	-3,11679641094e-08
68400	1,31552784811e-05	1,04784102444e-07
69300	1,08750766647e-05	-3,8003363607e-08
70200	1,41498443006e-05	5,45794605992e-08
71100	1,80386736842e-05	6,48138230589e-08
72000	1,9384510524e-05	2,24306139966e-08
72900	1,40909154815e-05	-8,82265840408e-08
73800	1,27697858933e-05	-2,20188264697e-08
74700	1,15450264412e-05	-2,04126575363e-08
75600	7,77970185533e-06	-6,27554097638e-08
76500	8,04152617703e-06	4,36373869502e-09
77400	0,000109370605034	1,68881798095e-06
78300	7,21146276899e-06	-1,70265237108e-06
79200	9,98137481362e-05	1,54337142279e-06
80100	9,18694657975e-05	-1,32404705645e-07
81000	7,84595125086e-05	-2,23499221482e-07
81900	8,65535917735e-05	1,34901321082e-07
82800	5,79981167254e-05	-4,75924584136e-07
83700	5,37744143037e-05	-7,03950403613e-08
84600	5,14293829555e-05	-3,90838558025e-08
85500	4,12479312719e-05	-1,69690861393e-07
86400	2,44928356152e-05	-2,79251594279e-07
87300	2,18296672991e-05	-4,4386138602e-08
88200	2,19433120848e-05	1,89407976301e-09
89100	1,62499555912e-05	-9,4889274894e-08
90000	1,26703300127e-05	-5,9660426308e-08
90900	1,37524292032e-05	1,80349865083e-08
91800	9,8291225588e-06	-6,53884440737e-08
92700	1,19990425679e-05	3,61653334847e-08
93600	1,25544669053e-05	9,25707229083e-09
94500	1,13637189522e-05	-1,9845799219e-08
95400	1,03747868877e-05	-1,64822010741e-08
96300	8,49153631167e-06	-3,13875096012e-08
97200	9,50249542909e-06	1,68493186236e-08
98100	1,01367677028e-05	1,05712045617e-08
99000	1,0473706225e-05	5,61564203677e-09
99900	1,07691453247e-05	4,92398499518e-09
100800	7,74547059797e-06	-5,03945787789e-08
101700	9,67468749766e-06	3,21536149948e-08
102600	1,08028973085e-05	1,8803496847e-08
103500	9,60848134367e-06	-1,99069327467e-08
104400	1,47045217575e-05	8,49340068968e-08
105300	1,41236229425e-05	-9,68164691683e-09
106200	1,47357479693e-05	1,02020837808e-08
107100	2,12804008425e-05	1,09077547887e-07
108000	3,78839416328e-05	2,76725679838e-07
108900	3,98823846467e-05	3,33073835646e-08
109800	5,56835428164e-05	2,63352636161e-07
110700	6,17256356825e-05	1,00701547768e-07
111600	7,25579114715e-05	1,80537929817e-07
112500	7,02087264101e-05	-3,91530843568e-08
113400	8,99534674002e-05	3,29079016502e-07
114300	9,13339577869e-05	2,30081731122e-08
115200	8,06392017318e-06	-1,38783396023e-06
116100	8,45055500226e-06	6,44391381802e-09
117000	1,04903544701e-05	3,39966577972e-08
117900	9,40178900402e-05	1,39212559283e-06
118800	9,04296088031e-06	-1,41624881933e-06
119700	2,91675063245e-05	3,35409090737e-07
120600	-4,65886635299e-06	-5,63772877958e-07
121500	4,49728939803e-05	8,27196005556e-07
122400	-3,99716022129e-06	-8,16167570027e-07
123300	-5,80183782385e-06	-3,00779600426e-08
124200	-6,45421531357e-06	-1,08729581619e-08
125100	-1,43776023254e-05	-1,32056450198e-07
126000	-1,17636940692e-05	4,35651376043e-08
126900	-1,19740427627e-05	-3,50581155947e-09
127800	-8,94865362075e-06	5,04231523666e-08
128700	-1,59719778722e-05	-1,17055404192e-07
129600	-1,48037901253e-05	1,94697957827e-08
130500	-1,02473934683e-05	7,59399442838e-08
131400	-9,67308908074e-06	9,57173979179e-09
132300	-9,44102715945e-06	3,86769868832e-09
133200	-7,59255331535e-06	3,08078974016e-08
134100	-0,000108228893441	-1,67727233542e-06
135000	-6,27324722072e-06	1,69926077033e-06
135900	-9,12208091049e-06	-4,74805614962e-08
136800	-4,50367752524e-06	7,69733897542e-08
137700	-1,59568572756e-05	-1,90886329173e-07
138600	-2,43867929526e-05	-1,40498927949e-07
139500	-3,36992503995e-06	3,50281131877e-07
140400	-2,55994820317e-05	-3,70492616528e-07
141300	5,08185588298e-06	5,11355631911e-07
142200	3,05873235998e-07	-7,95997107831e-08
143100	7,53167485097e-06	1,20430026916e-07
144000	8,00854635321e-05	1,20922981135e-06
144900	7,48472255377e-05	-8,73039665728e-08
145800	5,98635965293e-05	-2,49727150141e-07
146700	0,00010309411169	7,20508586008e-07
147600	0,000103446453618	5,87236547848e-09
148500	7,88046384809e-06	-1,59276649617e-06
149400	1,01876893888e-05	3,84537590125e-08
150300	7,94981067215e-06	-3,72979786116e-08
151200	1,06255721926e-05	4,45960253416e-08
152100	1,06426741577e-05	2,85032750441e-10
153000	1,18899294057e-05	2,07875874671e-08
153900	1,42334098534e-05	3,9058007461e-08
154800	1,56198840807e-05	2,31079037886e-08
155700	1,49912967294e-05	-1,04764558543e-08
156600	1,37258108501e-05	-2,10914313227e-08
157500	1,43253086423e-05	9,99162987152e-09
158400	1,2326806609e-05	-3,33083672232e-08
159300	1,15250336266e-05	-1,3362883039e-08
160200	7,72759215724e-06	-6,32906911563e-08
161100	8,19094552748e-06	7,7225561708e-09
162000	0,000124458806341	1,93779768023e-06
162900	7,63797408994e-06	-1,94701387086e-06
163800	7,24864984739e-06	-6,48873737591e-09
164700	0,000104249504613	1,61668091276e-06
165600	9,97459269774e-05	-7,50596272563e-08
166500	0,000100280230392	8,90505690863e-09
167400	8,4921615021e-05	-2,55976922849e-07
168300	7,03130906536e-05	-2,43475406123e-07
169200	7,663264832e-05	1,05325961106e-07
170100	7,57182480701e-05	-1,52400041653e-08
171000	5,40236234101e-05	-3,61577077666e-07
171900	5,38871581773e-05	-2,27442054681e-09
172800	5,24787930496e-05	-2,3472752128e-08
173700	3,94555518193e-05	-2,17054020506e-07
174600	4,70345909285e-05	1,26317318488e-07
175500	3,06771669307e-05	-2,72623733297e-07
176400	2,35852866577e-05	-1,18198004551e-07
177300	2,25549285781e-05	-1,71726346605e-08
178200	1,94532851553e-05	-5,16940570465e-08
179100	2,61268626966e-05	1,11226292356e-07
180000	1,83826183152e-05	-1,29070739691e-07
180900	1,34058758089e-05	-8,29457084385e-08
181800	1,26641975233e-05	-1,23613047595e-08
182700	1,24867427399e-05	-2,95757972232e-09
183600	1,32022704335e-05	1,19254615587e-08
184500	1,10801440346e-05	-3,53687733146e-08
185400	1,37517414291e-05	4,45266232418e-08
186300	9,34434792621e-06	-7,34565583816e-08
187200	1,08616382472e-05	2,52881720166e-08
188100	1,01024037647e-05	-1,26539080417e-08
189000	1,02295818056e-05	2,11963401512e-09
189900	9,65389960143e-06	-9,59470340286e-09
190800	9,69759457607e-06	7,28249577232e-10
191700	1,21631458645e-05	4,10925214733e-08
192600	1,51018371471e-05	4,89781880443e-08
193500	1,19555961196e-05	-5,24373504581e-08
194400	1,36830944334e-05	2,87916385627e-08
195300	1,55193798693e-05	3,06047572656e-08
196200	1,83592547044e-05	4,73312472514e-08
197100	2,03049474306e-05	3,24282121027e-08
198000	2,18241703551e-05	2,53203820755e-08
198900	2,29214281093e-05	1,82876292356e-08
199800	2,44443352345e-05	2,53817854208e-08
200700	3,89425724491e-05	2,41637286909e-07
201600	7,31152269053e-05	5,69544240937e-07
202500	5,4473233241e-05	-3,10699894404e-07
203400	0,000101964519572	7,91521438856e-07
204300	0,000113120807935	1,85938139372e-07
205200	1,088576275e-05	-1,70391741974e-06
206100	1,01344599822e-05	-1,25217127961e-08
207000	5,98456955067e-05	8,28520592074e-07
