time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	-4,93783338149e-06	-4,93783338149e-06	-4,93783338149e-06	-4,93783338149e-06	-5,42833083877e-06	-5,42833083877e-06	-5,42833083877e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,10762836712e-06	-6,26091760822e-06	-6,26091760822e-06	-6,26091760822e-06	-6,26091760822e-06
1800	8,53224944185e-06	8,53224944185e-06	8,53224944185e-06	8,53224944185e-06	9,34581493366e-06	9,34581493366e-06	9,34581493366e-06	1,07234861322e-05	1,07234861322e-05	1,07234861322e-05	1,07234861322e-05	1,07234861322e-05	1,07234861322e-05	1,11005209806e-05	1,11005209806e-05	1,11005209806e-05	1,11005209806e-05
2700	-1,1278088916e-05	-1,1278088916e-05	-1,1278088916e-05	-1,1278088916e-05	-1,23543542395e-05	-1,23543542395e-05	-1,23543542395e-05	-1,41701118397e-05	-1,41701118397e-05	-1,41701118397e-05	-1,41701118397e-05	-1,41701118397e-05	-1,41701118397e-05	-1,4625449963e-05	-1,4625449963e-05	-1,4625449963e-05	-1,4625449963e-05
3600	1,22218312086e-07	1,22218312086e-07	1,22218312086e-07	1,22218312086e-07	1,11630395681e-07	1,11630395681e-07	1,11630395681e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,64814468361e-07	2,8442394477e-07	2,8442394477e-07	2,8442394477e-07	2,8442394477e-07
4500	2,19278957225e-06	2,19278957225e-06	2,19278957225e-06	2,19278957225e-06	2,42332846809e-06	2,42332846809e-06	2,42332846809e-06	2,64867565469e-06	2,64867565469e-06	2,64867565469e-06	2,64867565469e-06	2,64867565469e-06	2,64867565469e-06	2,70194582175e-06	2,70194582175e-06	2,70194582175e-06	2,70194582175e-06
5400	2,59868334984e-06	2,59868334984e-06	2,59868334984e-06	2,59868334984e-06	2,8616531162e-06	2,8616531162e-06	2,8616531162e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,19016952401e-06	3,23388090557e-06	3,23388090557e-06	3,23388090557e-06	3,23388090557e-06
6300	1,32953506297e-06	1,32953506297e-06	1,32953506297e-06	1,32953506297e-06	1,46552399805e-06	1,46552399805e-06	1,46552399805e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,62490707337e-06	1,64936417953e-06	1,64936417953e-06	1,64936417953e-06	1,64936417953e-06
7200	-1,8144090484e-06	-1,8144090484e-06	-1,8144090484e-06	-1,8144090484e-06	-1,99165047112e-06	-1,99165047112e-06	-1,99165047112e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,25921114928e-06	-2,2865820557e-06	-2,2865820557e-06	-2,2865820557e-06	-2,2865820557e-06
8100	2,88679778779e-06	2,88679778779e-06	2,88679778779e-06	2,88679778779e-06	3,15136784889e-06	3,15136784889e-06	3,15136784889e-06	3,68163668762e-06	3,68163668762e-06	3,68163668762e-06	3,68163668762e-06	3,68163668762e-06	3,68163668762e-06	3,79541052706e-06	3,79541052706e-06	3,79541052706e-06	3,79541052706e-06
9000	6,15886488215e-07	6,15886488215e-07	6,15886488215e-07	6,15886488215e-07	6,71597749682e-07	6,71597749682e-07	6,71597749682e-07	7,89130502089e-07	7,89130502089e-07	7,89130502089e-07	7,89130502089e-07	7,89130502089e-07	7,89130502089e-07	8,37516405701e-07	8,37516405701e-07	8,37516405701e-07	8,37516405701e-07
9900	-1,91148016282e-07	-1,91148016282e-07	-1,91148016282e-07	-1,91148016282e-07	-1,94699189947e-07	-1,94699189947e-07	-1,94699189947e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,13613985593e-07	-3,44483449133e-07	-3,44483449133e-07	-3,44483449133e-07	-3,44483449133e-07
10800	1,09745218287e-06	1,09745218287e-06	1,09745218287e-06	1,09745218287e-06	1,19501182911e-06	1,19501182911e-06	1,19501182911e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,41471991463e-06	1,44554713805e-06	1,44554713805e-06	1,44554713805e-06	1,44554713805e-06
11700	-5,56630393782e-07	-5,56630393782e-07	-5,56630393782e-07	-5,56630393782e-07	-6,13509690172e-07	-6,13509690172e-07	-6,13509690172e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,80565309769e-07	-6,99777729052e-07	-6,99777729052e-07	-6,99777729052e-07	-6,99777729052e-07
12600	-8,06866996102e-07	-8,06866996102e-07	-8,06866996102e-07	-8,06866996102e-07	-8,82093872814e-07	-8,82093872814e-07	-8,82093872814e-07	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,02263189104e-06	-1,05039547697e-06	-1,05039547697e-06	-1,05039547697e-06	-1,05039547697e-06
13500	-8,13734840263e-07	-8,13734840263e-07	-8,13734840263e-07	-8,13734840263e-07	-8,93065769293e-07	-8,93065769293e-07	-8,93065769293e-07	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,0140175679e-06	-1,02676648085e-06	-1,02676648085e-06	-1,02676648085e-06	-1,02676648085e-06
