time	I_imag	d/dt
0	1,68451312893e-06	0
900	3,85721662708e-06	3,62117249693e-08
1800	2,4499710266e-07	-6,02036587404e-08
2700	4,14947310723e-06	6,50746000762e-08
3600	4,22128027927e-06	1,19678620063e-09
4500	2,97059657652e-06	-2,08447283792e-08
5400	3,2808108977e-06	5,17023868634e-09
6300	3,50683829268e-06	3,76712324953e-09
7200	3,48054812991e-06	-4,38169379499e-10
8100	1,99564385079e-06	-2,47484046519e-08
9000	1,40873700558e-06	-9,7817807535e-09
9900	1,41843672863e-06	1,61662050863e-10
10800	1,42201423298e-06	5,96250723718e-11
11700	2,01938437067e-06	9,95616896153e-09
12600	2,09698834654e-06	1,29339959793e-09
13500	2,31822632089e-06	3,68729957246e-09
14400	1,69627988366e-06	-1,03657739538e-08
15300	1,39741073706e-06	-4,98115244333e-09
16200	2,49815809801e-06	1,83457893492e-08
17100	2,15021993595e-06	-5,79896936764e-09
18000	1,03796554231e-06	-1,85375732274e-08
18900	1,34355629359e-06	5,09317918808e-09
19800	1,32847061368e-06	-2,51427998459e-10
20700	1,6482648959e-06	5,32990470366e-09
21600	2,34954363152e-06	1,1687978927e-08
22500	2,3512106032e-06	2,77828612988e-11
23400	2,17847339034e-06	-2,87895354775e-09
24300	2,08289147274e-06	-1,59303195986e-09
25200	3,52101642859e-06	2,39687492641e-08
26100	3,43305764659e-06	-1,46597970005e-09
27000	2,9686075228e-06	-7,74083539644e-09
27900	4,22971551119e-06	2,10184664732e-08
28800	6,77528507844e-06	4,2426159454e-08
29700	6,40608775279e-06	-6,1532887607e-09
30600	2,52382916462e-05	3,1387006489e-07
31500	1,03248567949e-05	-2,48557247522e-07
32400	1,09307736915e-05	1,00986149433e-08
33300	1,45029008579e-05	5,9535452773e-08
34200	9,98018778181e-06	-7,53785512677e-08
35100	2,38218280922e-05	2,30694005173e-07
36000	5,86973668793e-06	-2,99201523404e-07
36900	6,57334982041e-06	1,17268855413e-08
37800	1,81122758102e-05	1,92315433164e-07
38700	-7,42575340129e-07	-3,14247519173e-07
39600	-3,91568780359e-07	5,85010932951e-09
40500	-3,03783948562e-06	-4,41045117544e-08
41400	-7,56085105134e-06	-7,53835260953e-08
42300	-2,28637881259e-06	8,79078706459e-08
43200	-1,81731422288e-06	7,81774316181e-09
44100	-3,31731977917e-07	2,47597040827e-08
45000	-1,50367315073e-06	-1,95323528802e-08
45900	-1,27303566275e-06	3,84395813306e-09
46800	-5,58038565147e-07	1,19166182933e-08
47700	-2,8400828495e-06	-3,80340714058e-08
48600	-1,04651674734e-06	2,98927683692e-08
49500	-4,80326913603e-07	9,43649722898e-09
50400	-4,23510146376e-06	-6,2579575836e-08
51300	-5,75359199967e-07	6,09957043966e-08
52200	-1,39503704526e-06	-1,36612974216e-08
53100	5,79185773119e-06	1,19781579608e-07
54000	3,23010614474e-06	-4,26958597741e-08
54900	-1,79731861693e-05	-3,53388205233e-07
55800	2,21946472176e-06	3,36544181517e-07
56700	2,70316689412e-05	4,1353673699e-07
57600	6,53078214739e-06	-3,41681446563e-07
58500	5,47598031663e-07	-9,97197352621e-08
59400	7,87514015918e-07	3,99859973758e-09
60300	6,45940827157e-07	-2,35955314601e-09
61200	9,55147308829e-07	5,15344136121e-09
62100	7,76544411902e-07	-2,9767149488e-09
63000	7,96415063101e-07	3,31177519987e-10
63900	7,71335843408e-07	-4,17986994874e-10
64800	1,72905015726e-05	2,7531942882e-07
65700	8,30630638742e-07	-2,74331182231e-07
66600	7,01432503988e-07	-2,1533022459e-09
67500	4,30121393597e-07	-4,52185183986e-09
68400	8,34836574916e-07	6,74525302198e-09
69300	6,94783687564e-07	-2,3342147892e-09
70200	1,04109160654e-06	5,77179864969e-09
71100	1,51161740915e-06	7,84209671014e-09
72000	1,50959893159e-06	-3,36412927734e-11
72900	1,39362384454e-06	-1,93291811752e-09
73800	1,03010899839e-06	-6,05858076909e-09
74700	9,05802719801e-07	-2,07177130982e-09
75600	6,25598837676e-07	-4,67006470208e-09
76500	6,55320631985e-07	4,95363238482e-10
77400	1,4289855738e-05	2,27242251767e-07
78300	6,61523943406e-07	-2,27138863243e-07
79200	1,90640462259e-05	3,06708704709e-07
80100	1,70071332826e-05	-3,42818823895e-08
81000	1,43384519271e-05	-4,44780225912e-08
81900	1,7700981369e-05	5,60421573655e-08
82800	1,25018367352e-05	-8,66524105641e-08
83700	9,05093779334e-06	-5,75149823638e-08
