time	Va	d/dt
0	-0,00085535946387	0
900	-0,0012218171659	-6,10762836712e-06
1800	-0,000578407997967	1,07234861322e-05
2700	-0,00142861470835	-1,41701118397e-05
3600	-0,00141272584025	2,64814468361e-07
4500	-0,00125380530097	2,64867565469e-06
5400	-0,00106239512953	3,19016952401e-06
6300	-0,000964900705123	1,62490707337e-06
7200	-0,00110045337408	-2,25921114928e-06
8100	-0,000879555172823	3,68163668762e-06
9000	-0,000832207342698	7,89130502089e-07
9900	-0,000851024181834	-3,13613985593e-07
10800	-0,000766140986956	1,41471991463e-06
11700	-0,000806974905542	-6,80565309769e-07
12600	-0,000868332819004	-1,02263189104e-06
13500	-0,000929173873078	-1,0140175679e-06
14400	-0,000817652790394	1,85868471141e-06
15300	-0,000726988676793	1,51106856e-06
16200	-0,000859556440404	-2,20946272685e-06
17100	-0,000810211851083	8,22409822015e-07
18000	-0,000810382929137	-2,85130088694e-09
18900	-0,000834241604299	-3,97644586039e-07
19800	-0,000773159044571	1,01804266213e-06
20700	-0,000845092051089	-1,19888344196e-06
21600	-0,000919923996238	-1,24719908582e-06
22500	-0,000975693844605	-9,29497472786e-07
23400	-0,00101516103194	-6,57786455599e-07
24300	-0,000978764607018	6,06607082051e-07
25200	-0,00110321464917	-2,07416736926e-06
26100	-0,00113475387623	-5,25653784229e-07
27000	-0,00112346164676	1,88203824537e-07
27900	-0,00126884007863	-2,42297386453e-06
28800	-0,00155390774933	-4,75112784503e-06
29700	-0,00178404984272	-3,83570155656e-06
30600	-0,00254751352761	-1,27243947481e-05
31500	-0,00223833479093	5,15297894463e-06
32400	-0,00181446239275	7,06453996965e-06
33300	-0,00195328942938	-2,31378394378e-06
34200	-0,00173994777874	3,55569417727e-06
35100	-0,0025130597203	-1,28851990259e-05
36000	-0,00116511751692	2,24657033896e-05
36900	-0,00145660681902	-4,85815503497e-06
37800	-0,00195425621891	-8,2941566648e-06
38700	0,000179004620105	3,55543473169e-05
39600	0,000617875011551	7,3145065241e-06
40500	0,00113881989935	8,68241479665e-06
41400	0,0015689656961	7,1690966125e-06
42300	0,00771782267484	0,000102480949646
43200	0,00690402236716	-1,35633384613e-05
44100	0,00340466546331	-5,83226150641e-05
45000	0,00557879453215	3,62354844806e-05
45900	0,00548222681971	-1,60946187398e-06
46800	0,00393413985828	-2,58014493573e-05
47700	0,00843938205716	7,50873699813e-05
48600	0,00544746868834	-4,98652228136e-05
49500	0,0037554857985	-2,81997148306e-05
50400	0,00964465817028	9,81528728629e-05
51300	0,00381622208055	-9,71406014954e-05
52200	0,000460746290029	-5,59245965087e-05
53100	-0,00134432158195	-3,00844645329e-05
54000	-0,00129937383679	7,49129085919e-07
54900	0,00206567496035	5,6084146619e-05
55800	-0,000826627249733	-4,82050368347e-05
56700	-0,00254318104221	-2,86092298747e-05
57600	-0,0016165574396	1,54437267102e-05
58500	-0,00275102338183	-1,89077657037e-05
59400	-0,00305478896543	-5,06275972682e-06
60300	-0,0029549499242	1,66398402063e-06
61200	-0,00333007523767	-6,25208855784e-06
62100	-0,00290595859684	7,06861068038e-06
63000	-0,00296210343467	-9,35747297158e-07
63900	-0,00281903966067	2,38439623336e-06
64800	-0,00251932460537	4,99525092163e-06
65700	-0,00308865726186	-9,48887760809e-06
66600	-0,00302972266019	9,82243361129e-07
67500	-0,0027533015505	4,60701849494e-06
68400	-0,00386532493683	-1,85337231056e-05
69300	-0,00348737897187	6,29909941596e-06
70200	-0,00395171433195	-7,73892266799e-06
71100	-0,00434180730647	-6,50154957529e-06
72000	-0,00451722125833	-2,92356586432e-06
72900	-0,00376873944958	1,24746968125e-05
73800	-0,00367660145363	1,53563326568e-06
74700	-0,00347887792663	3,29539211672e-06
75600	-0,00290709470246	9,52972040292e-06
76500	-0,00292204704462	-2,49205702658e-07
77400	-0,0025327333058	6,48856231357e-06
78300	-0,00272954244188	-3,2801522679e-06
79200	-0,00242048470999	5,15096219805e-06
80100	-0,0023287960844	1,52814375998e-06
81000	-0,00214513241331	3,06106118474e-06
81900	-0,00225308694404	-1,7992421789e-06
82800	-0,00185113600361	6,69918234058e-06
83700	-0,00177448568799	1,27750526028e-06
84600	-0,00173514009529	6,5575987837e-07
85500	-0,00154943810703	3,09503313761e-06
86400	-0,00117509555731	6,23904249535e-06
87300	-0,00112091156368	9,03066560529e-07
88200	-0,00111796468817	4,91145918207e-08
89100	-0,000960581780542	2,62304846051e-06
90000	-0,000847739993744	1,88069644662e-06
90900	-0,000892857968463	-7,51966245313e-07
91800	-0,000753610019298	2,32079915276e-06
92700	-0,000834137143798	-1,34211874167e-06
93600	-0,000856986544755	-3,80823349281e-07
94500	-0,000810447474273	7,75651174701e-07
95400	-0,000775798141805	5,77488874453e-07
96300	-0,000704299951351	1,19163650758e-06
97200	-0,00074419780826	-6,64964281825e-07
98100	-0,00076916790426	-4,16168266659e-07
99000	-0,000780589134934	-1,90353844567e-07
99900	-0,000788343661351	-1,29242106955e-07
100800	-0,000667471898914	2,01452937395e-06
101700	-0,000750714330594	-1,38737386133e-06
102600	-0,000793853962192	-7,18993859955e-07
103500	-0,000748800472388	7,50891496733e-07
104400	-0,000920651094005	-2,86417702696e-06
105300	-0,000897160325028	3,91512816287e-07
106200	-0,000920387716238	-3,87123186825e-07
107100	-0,00112329632356	-3,3818101221e-06
108000	-0,00147733094327	-5,90057699512e-06
108900	-0,00151918510003	-6,9756927934e-07
109800	-0,00178632948387	-4,45240639727e-06
110700	-0,00186476805911	-1,30730958741e-06
111600	-0,00205233078341	-3,12604540494e-06
112500	-0,00202981471827	3,75267752396e-07
113400	-0,00228256062722	-4,21243181586e-06
114300	-0,002311655256	-4,84910479783e-07
115200	-0,00284572117401	-8,90109863343e-06
116100	-0,00297521082393	-2,15816083207e-06
117000	-0,00328305314772	-5,13070539652e-06
117900	-0,00236018685714	1,53811048431e-05
118800	-0,00288597405634	-8,7631199868e-06
119700	-0,00127639298001	2,68263512723e-05
120600	0,00333865532651	7,69174717752e-05
121500	-0,00162419343936	-8,27141460978e-05
122400	0,00293968668278	7,60646687024e-05
123300	0,00395424455845	1,69092979278e-05
124200	0,00395475926883	8,57850637158e-09
125100	0,00585750420491	3,17124156013e-05
126000	0,0051500683806	-1,17905970718e-05
126900	0,00526563401728	1,92609394457e-06
127800	0,00449079212096	-1,29140316053e-05
128700	0,00577511631221	2,14054031876e-05
129600	0,00553708146547	-3,96724744574e-06
130500	0,00455992511887	-1,628593911e-05
131400	0,00467527372438	1,92247675848e-06
132300	0,00463331882167	-6,99248378492e-07
133200	0,00424838347157	-6,41558916833e-06
134100	0,00252618671878	-2,87032792133e-05
135000	0,00382703354848	2,1680780495e-05
135900	0,00458151139568	1,25746307867e-05
136800	0,00308549296361	-2,49336405345e-05
137700	0,00573313236208	4,41273233079e-05
138600	0,00715842501903	2,37548776158e-05
139500	0,00271912182204	-7,39883866166e-05
140400	0,00127512804839	-2,4066562894e-05
141300	-0,000548952726134	-3,04013462422e-05
142200	-0,000143338481384	6,7602374125e-06
143100	-0,000664916559635	-8,69296797084e-06
144000	-0,00218637028084	-2,53575620201e-05
144900	-0,00211606502849	1,17175420583e-06
145800	-0,00188020860197	3,93094044197e-06
146700	-0,0024724949546	-9,87143921043e-06
147600	-0,00246317698351	1,55299518071e-07
148500	-0,00286605161122	-6,71457712846e-06
149400	-0,00341030318926	-9,07085963393e-06
150300	-0,00296788998041	7,37355348072e-06
151200	-0,00345360257069	-8,0952098379e-06
152100	-0,00343506154584	3,09017080789e-07
153000	-0,00349575070078	-1,01148591567e-06
153900	-0,00377436266205	-4,64353268786e-06
154800	-0,00388050235272	-1,76899484443e-06
