time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
19800	9998,08709545	9998,08709545	9998,08709545	9998,08709545	9998,0542532	9998,0542532	9998,0542532	9998,00133762	9998,00133762	9998,00133762	9998,00133762	9998,00133762	9998,00133762	9997,9894536	9997,9894536	9997,9894536	9997,9894536
20700	9997,91302774	9997,91302774	9997,91302774	9997,91302774	9997,87737108	9997,87737108	9997,87737108	9997,81859563	9997,81859563	9997,81859563	9997,81859563	9997,81859563	9997,81859563	9997,80514194	9997,80514194	9997,80514194	9997,80514194
21600	9997,7342758	9997,7342758	9997,7342758	9997,7342758	9997,69583526	9997,69583526	9997,69583526	9997,63040463	9997,63040463	9997,63040463	9997,63040463	9997,63040463	9997,63040463	9997,61487174	9997,61487174	9997,61487174	9997,61487174
22500	9997,59268263	9997,59268263	9997,59268263	9997,59268263	9997,55165009	9997,55165009	9997,55165009	9997,48326873	9997,48326873	9997,48326873	9997,48326873	9997,48326873	9997,48326873	9997,46782586	9997,46782586	9997,46782586	9997,46782586
23400	9997,49362498	9997,49362498	9997,49362498	9997,49362498	9997,45082886	9997,45082886	9997,45082886	9997,38008465	9997,38008465	9997,38008465	9997,38008465	9997,38008465	9997,38008465	9997,36457969	9997,36457969	9997,36457969	9997,36457969
24300	9997,57860657	9997,57860657	9997,57860657	9997,57860657	9997,53704346	9997,53704346	9997,53704346	9997,47000612	9997,47000612	9997,47000612	9997,47000612	9997,47000612	9997,47000612	9997,45513012	9997,45513012	9997,45513012	9997,45513012
25200	9997,27299112	9997,27299112	9997,27299112	9997,27299112	9997,22628316	9997,22628316	9997,22628316	9997,15017863	9997,15017863	9997,15017863	9997,15017863	9997,15017863	9997,15017863	9997,13244805	9997,13244805	9997,13244805	9997,13244805
26100	9997,20417483	9997,20417483	9997,20417483	9997,20417483	9997,15669636	9997,15669636	9997,15669636	9997,07622233	9997,07622233	9997,07622233	9997,07622233	9997,07622233	9997,07622233	9997,05750865	9997,05750865	9997,05750865	9997,05750865
27000	9997,23077072	9997,23077072	9997,23077072	9997,23077072	9997,18368899	9997,18368899	9997,18368899	9997,10430992	9997,10430992	9997,10430992	9997,10430992	9997,10430992	9997,10430992	9997,08638838	9997,08638838	9997,08638838	9997,08638838
27900	9996,87761648	9996,87761648	9996,87761648	9996,87761648	9996,82476283	9996,82476283	9996,82476283	9996,73386682	9996,73386682	9996,73386682	9996,73386682	9996,73386682	9996,73386682	9996,7127383	9996,7127383	9996,7127383	9996,7127383
