time	I_imag	d/dt
121500	2,59209064677e-05	4,35459190079e-07
122400	-5,2562462862e-07	-4,40775518271e-07
123300	-1,10992988147e-07	6,91052734121e-09
124200	-3,35984400621e-07	-3,74985687455e-09
125100	-8,26358898403e-07	-8,17290829638e-09
126000	-9,96708046797e-07	-2,83915247323e-09
126900	-1,09451239786e-06	-1,63007251769e-09
127800	-8,14037787278e-07	4,67457684301e-09
128700	-1,56749586984e-06	-1,25576347094e-08
129600	-1,48202212192e-06	1,42456246543e-09
130500	-1,14598988206e-06	5,60053733097e-09
131400	-8,31683406326e-07	5,23844126221e-09
132300	-8,04060194939e-07	4,60386856449e-10
133200	-5,09280743677e-07	4,91299085435e-09
134100	-5,16238848512e-05	-8,51910068458e-07
135000	-5,13328445338e-07	8,51842606764e-07
135900	-6,59486458436e-07	-2,43596688496e-09
136800	-4,62263482288e-07	3,28704960247e-09
137700	-1,60997493545e-06	-1,91285242194e-08
138600	-2,34620083738e-06	-1,22704316988e-08
139500	-4,00289030731e-07	3,24318634441e-08
140400	-1,31607427816e-05	-2,12674229181e-07
141300	3,19877182214e-06	2,72658576728e-07
142200	3,06790940126e-07	-4,81996813668e-08
143100	4,68783371446e-06	7,30173795722e-08
144000	4,61306108916e-05	6,90712952953e-07
144900	4,3274406021e-05	-4,76034145104e-08
145800	3,38805852819e-05	-1,56563678985e-07
146700	5,87455252505e-05	4,14415666144e-07
147600	5,78872364422e-05	-1,43048134721e-08
148500	4,41267716062e-06	-8,91242654693e-07
149400	5,39008485967e-06	1,62901283175e-08
150300	4,33244708106e-06	-1,76272963101e-08
151200	5,71029296072e-06	2,29640979942e-08
152100	5,74442114216e-06	5,68803023975e-10
153000	6,74777397661e-06	1,67225472409e-08
153900	8,1493892425e-06	2,33602544314e-08
154800	9,0728346845e-06	1,53907573668e-08
155700	8,66377585335e-06	-6,81764718585e-09
156600	8,01633943547e-06	-1,07906069647e-08
157500	8,01047709584e-06	-9,77056604097e-11
158400	6,84550620797e-06	-1,94161814645e-08
159300	6,3782895116e-06	-7,78694493961e-09
160200	4,33413398641e-06	-3,40692587532e-08
161100	4,65705179651e-06	5,38196350169e-09
162000	6,98823282271e-05	1,08708794051e-06
162900	4,36534227148e-06	-1,09194976593e-06
163800	4,10836901453e-06	-4,28288761578e-09
164700	5,64995517689e-05	8,73186379239e-07
165600	5,40320444293e-05	-4,11251223264e-08
166500	5,50263604521e-05	1,65719337129e-08
167400	4,65158767959e-05	-1,41841394269e-07
168300	3,85377856351e-05	-1,32968186014e-07
169200	4,1356499638e-05	4,6978566715e-08
170100	4,07032751841e-05	-1,08870742318e-08
