time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
14400	1,74677201961e-05	6,30620924016e-06	0,0	1,15946078388e-05	1,15946078388e-05	6,98772196899e-06	4,67173617202e-06	6,30620924016e-06	0,0	4,39569723477e-06	1,69628199892e-06	8,72865375149e-06	3,71873599746e-06	8,72865375149e-06	7,77604797261e-07	3,72159302887e-06	4,24745567629e-06
15300	1,3766353283e-05	5,00942119417e-06	0,0	9,10040559892e-06	9,10040559892e-06	5,24875804231e-06	3,90231722827e-06	5,00942119417e-06	0,0	3,83629755575e-06	1,39741073706e-06	7,28248426615e-06	3,00453781854e-06	7,28248426615e-06	7,00168342994e-07	3,06951236243e-06	3,52849036414e-06
16200	1,91340667494e-05	7,06606716558e-06	0,0	1,25511014201e-05	1,25511014201e-05	7,37809669555e-06	5,24232980719e-06	7,06606716558e-06	0,0	5,34600395687e-06	2,49815809814e-06	1,0389798965e-05	4,58664907365e-06	1,0389798965e-05	1,1096769885e-07	5,7688341455e-06	4,53604653584e-06
17100	1,71082839479e-05	6,21648856106e-06	0,0	1,13181480125e-05	1,13181480125e-05	6,78053657457e-06	4,60068408778e-06	6,21648856106e-06	0,0	4,40622312623e-06	2,15021993595e-06	9,27753393643e-06	3,55213318538e-06	9,27753393643e-06	3,44213679641e-08	4,87928008297e-06	4,45694595766e-06
18000	1,71654057081e-05	6,19061162643e-06	0,0	1,14000468818e-05	1,14000468818e-05	6,84023270902e-06	4,62358826869e-06	6,19061162643e-06	0,0	4,1989075327e-06	1,03796342705e-06	8,18924491095e-06	3,28022777865e-06	8,18924491095e-06	1,37879483089e-07	4,1715029015e-06	3,89794853441e-06
18900	1,81945069932e-05	6,55851313038e-06	0,0	1,20865618363e-05	1,20865618363e-05	7,18637720028e-06	4,96778159539e-06	6,55851313038e-06	0,0	4,66690384859e-06	1,34355629359e-06	8,96536762824e-06	3,65224226379e-06	8,96536762824e-06	4,14920225287e-07	4,1674124496e-06	4,40258075868e-06
19800	1,56682374761e-05	5,61003756142e-06	0,0	1,0444194867e-05	1,0444194867e-05	6,11337982681e-06	4,38941199016e-06	5,61003756142e-06	0,0	4,01334823506e-06	1,32846638328e-06	7,80590368328e-06	3,18927689567e-06	7,80590368328e-06	6,97488553366e-07	3,41650646891e-06	3,70778527217e-06
20700	1,86495074448e-05	6,74244013455e-06	0,0	1,23699747329e-05	1,23699747329e-05	7,27767212073e-06	5,1613672207e-06	6,74244013455e-06	0,0	4,9681302359e-06	1,64826701104e-06	9,64714112217e-06	3,76714060012e-06	9,64714112217e-06	2,34088167247e-07	4,86355438589e-06	4,57223583237e-06
21600	2,19810561819e-05	8,05643041808e-06	0,0	1,44762008317e-05	1,44762008317e-05	8,76895983269e-06	5,78764177271e-06	8,05643041808e-06	0,0	6,1250216294e-06	2,34954151626e-06	1,21038465275e-05	4,50167814635e-06	1,21038465275e-05	2,22493308092e-07	7,02524843502e-06	5,33391340341e-06
22500	2,48142735493e-05	9,01312167546e-06	0,0	1,64193199036e-05	1,64193199036e-05	9,74410028955e-06	6,76669642418e-06	9,01312167546e-06	0,0	6,53687857232e-06	2,3512106032e-06	1,27753178029e-05	5,19963709305e-06	1,27753178029e-05	6,29549680827e-07	6,22618390654e-06	5,94803725227e-06
23400	2,68984488428e-05	9,73644702705e-06	0,0	1,78302530294e-05	1,78302530294e-05	1,03868996472e-05	7,54284062129e-06	9,73644702705e-06	0,0	6,79483753611e-06	2,17847550545e-06	1,3349532588e-05	5,43327190455e-06	1,3349532588e-05	8,6729984405e-07	5,9176409924e-06	6,59312301061e-06
24300	2,51053133895e-05	8,9930089706e-06	0,0	1,67309477548e-05	1,67309477548e-05	9,66893493269e-06	7,1558770444e-06	8,9930089706e-06	0,0	6,49817928889e-06	2,08288724208e-06	1,23679138358e-05	5,27464106584e-06	1,23679138358e-05	1,10620777871e-06	5,32362045505e-06	5,96313607278e-06
25200	3,18426242292e-05	1,14556141694e-05	0,0	2,11742637497e-05	2,11742637497e-05	1,26731144026e-05	8,61972810864e-06	1,14556141694e-05	0,0	8,0953146397e-06	3,52101642859e-06	1,66106506283e-05	6,5587077192e-06	1,66106506283e-05	3,07982755775e-07	7,88728044142e-06	8,45618909962e-06
