time	Va	d/dt
0	-0,00074422527028	0
900	-0,00106992512061	-5,42833083877e-06
1800	-0,00102984889478	6,67937097174e-07
2700	-0,00125043747896	-3,67647640301e-06
3600	-0,00124373965522	1,11630395681e-07
4500	-0,00109833994713	2,42332846808e-06
5400	-0,000926640760158	2,8616531162e-06
6300	-0,000838709320275	1,46552399804e-06
7200	-0,000958208348543	-1,99165047112e-06
8100	-0,000769126277609	3,15136784889e-06
9000	-0,000728830412628	6,71597749681e-07
9900	-0,000740512364025	-1,94699189947e-07
10800	-0,000668811654278	1,19501182911e-06
11700	-0,000705622235689	-6,13509690172e-07
12600	-0,000758547868058	-8,82093872814e-07
13500	-0,000812131814215	-8,93065769293e-07
14400	-0,00071480882722	1,62204978326e-06
15300	-0,000634349790247	1,34098394955e-06
16200	-0,000747368598322	-1,88364680125e-06
17100	-0,000707213225081	6,69256220675e-07
18000	-0,000708628964403	-2,35956553572e-08
18900	-0,000729577433428	-3,4914115042e-07
19800	-0,000677236267027	8,72352773355e-07
20700	-0,000738546787795	-1,02184201281e-06
21600	-0,000801314563706	-1,04612959852e-06
22500	-0,000851735459608	-8,4034826503e-07
23400	-0,000886919387982	-5,86398806227e-07
24300	-0,000857242587107	4,9461334791e-07
25200	-0,000965256090671	-1,80022505939e-06
26100	-0,000988874502948	-3,9364020462e-07
27000	-0,000979567147307	1,55122594013e-07
27900	-0,00110406825101	-2,07501839501e-06
28800	-0,00135096662415	-4,11497288566e-06
29700	-0,00156862866747	-3,62770072211e-06
30600	-0,00220738799313	-1,06459887609e-05
31500	-0,00194640827839	4,34966191226e-06
32400	-0,00157283796126	6,22617195218e-06
33300	-0,00169423687906	-2,02331529665e-06
34200	-0,00152743896029	2,77996531291e-06
35100	-0,00220726246159	-1,13303916884e-05
36000	-0,00101393163863	1,98888470494e-05
36900	-0,00122940859641	-3,59128262969e-06
37800	-0,00166497720328	-7,25947678116e-06
38700	0,000194373797627	3,09891833484e-05
39600	0,00061461499792	7,00402000489e-06
40500	0,00103266787163	6,9675478951e-06
41400	0,00143308940012	6,67369214162e-06
42300	0,00685243080694	9,03223567803e-05
43200	0,00615036925855	-1,17010258064e-05
44100	0,00302322307139	-5,21191031195e-05
45000	0,00495504214938	3,21969846332e-05
45900	0,00483052731066	-2,07524731199e-06
46800	0,00348947184375	-2,23509244484e-05
47700	0,00753080479134	6,73555491264e-05
48600	0,00490231786463	-4,38081154451e-05
49500	0,00336203571811	-2,56713691088e-05
50400	0,00854605574351	8,64003337567e-05
51300	0,00338942749155	-8,59438041993e-05
52200	0,000436646735427	-4,9213012602e-05
53100	-0,00115473001465	-2,65229458345e-05
54000	-0,0011153731353	6,55947989031e-07
54900	0,00183861841932	4,92331925771e-05
55800	-0,000698067699636	-4,22781019826e-05
56700	-0,00220187773392	-2,50635005714e-05
57600	-0,00140141415826	1,33410595943e-05
58500	-0,00239663665832	-1,65870416677e-05
59400	-0,00265974243185	-4,38509622552e-06
60300	-0,00259424691615	1,09159192836e-06
61200	-0,00290622640624	-5,19965816807e-06
62100	-0,0025416122938	6,07690187394e-06
63000	-0,00259182198621	-8,36828206855e-07
63900	-0,00245235125234	2,32451223125e-06
64800	-0,00219059292758	4,36263874587e-06
65700	-0,00268489848364	-8,23842593431e-06
66600	-0,00264620490669	6,4489294912e-07
67500	-0,00241025347879	3,93252379838e-06
68400	-0,00339721336692	-1,64493314688e-05
69300	-0,00306311702975	5,56827228611e-06
70200	-0,00346902533592	-6,76513843615e-06
71100	-0,00377922857608	-5,17005400264e-06
72000	-0,00393445670192	-2,58713543072e-06
72900	-0,0032813344339	1,08853711336e-05
73800	-0,00320917336077	1,20268455227e-06
74700	-0,003040338695	2,81391109609e-06
75600	-0,00255032457439	8,16690201014e-06
76500	-0,0025552053671	-8,13465450986e-08
77400	-0,0022042718225	5,84889241008e-06
78300	-0,00238126607229	-2,94990416331e-06
79200	-0,00210615364391	4,58520713974e-06
80100	-0,00202334982196	1,38006369918e-06
81000	-0,00186695600357	2,60656363988e-06
81900	-0,00196090129625	-1,56575487814e-06
82800	-0,00160798167372	5,88199370884e-06
83700	-0,0015450209381	1,04934559374e-06
84600	-0,00151086505015	5,6926479908e-07
85500	-0,0013512159402	2,66081849917e-06
86400	-0,00103343597778	5,29633270701e-06
87300	-0,000980391856591	8,84068686541e-07
88200	-0,000980522727858	-2,18118778084e-09
89100	-0,000843176843821	2,28909806728e-06
90000	-0,000744344890566	1,64719922091e-06
90900	-0,000779464555988	-5,85327757021e-07
91800	-0,000658462821469	2,01669557531e-06
92700	-0,00072813821922	-1,16125662917e-06
93600	-0,000746356487196	-3,03637799614e-07
94500	-0,000708059421568	6,38284427134e-07
95400	-0,000677134805389	5,1541026965e-07
96300	-0,000613610608048	1,05873662236e-06
97200	-0,000648759159389	-5,85809189017e-07
98100	-0,000670282227296	-3,58717798446e-07
99000	-0,0006808107101	-1,75474713401e-07
99900	-0,000689032196517	-1,37024773624e-07
100800	-0,000583894932367	1,75228773584e-06
101700	-0,000654529672391	-1,17724566707e-06
102600	-0,000691879021777	-6,22489156426e-07
103500	-0,000652559016599	6,55333419628e-07
104400	-0,000804921769636	-2,53937921729e-06
105300	-0,000786748872356	3,02881621336e-07
106200	-0,000805263759418	-3,08581451028e-07
107100	-0,0009748409083	-2,82628581471e-06
108000	-0,00129181148794	-5,28284299396e-06
108900	-0,00132684625026	-5,83912705439e-07
109800	-0,00156419678348	-3,95584222028e-06
110700	-0,00164029104644	-1,26823771603e-06
111600	-0,00179100363128	-2,51187641393e-06
112500	-0,00176631656141	4,11451164478e-07
113400	-0,00199310467533	-3,77980189861e-06
114300	-0,00201315822427	-3,34225815777e-07
115200	-0,00247945179525	-7,77155951636e-06
116100	-0,00259139026405	-1,86564114661e-06
117000	-0,00286734184961	-4,59919309272e-06
117900	-0,00204866275083	1,36446516464e-05
118800	-0,00250092950817	-7,53777928892e-06
119700	-0,00110313401019	2,32965916329e-05
120600	0,00296515586166	6,78048311975e-05
121500	-0,00140213783346	-7,27882282519e-05
122400	0,00261005851877	6,68699392038e-05
123300	0,00354140924377	1,55225120834e-05
124200	0,00351874061615	-3,77810460387e-07
125100	0,00521924437417	2,83417293003e-05
126000	0,0045839686891	-1,05879280845e-05
126900	0,00470294060611	1,98286528349e-06
127800	0,00399918345287	-1,17292858872e-05
128700	0,00511195584326	1,85462065065e-05
129600	0,00489756191318	-3,57323216806e-06
130500	0,00402939632597	-1,44694264536e-05
131400	0,00415485605074	2,09099541284e-06
132300	0,00412113234373	-5,62061783412e-07
133200	0,00378422856776	-5,61506293279e-06
134100	0,00226725144486	-2,52829520483e-05
135000	0,00341455509863	1,91217275627e-05
135900	0,00407691075102	1,10392608733e-05
136800	0,00273485078742	-2,236766606e-05
137700	0,00507277024663	3,89653243201e-05
138600	0,00634183425457	2,1151066799e-05
139500	0,00242044066487	-6,53565598283e-05
140400	0,00113751960913	-2,13820175956e-05
141300	-0,000462405207756	-2,66654136148e-05
