time	I_imag	d/dt
0	3,99602798458e-06	0
900	7,73331460905e-06	6,22881104079e-08
1800	8,29168184732e-06	9,30612063784e-09
2700	1,05203214741e-05	3,71439937794e-08
3600	1,03949238501e-05	-2,08996039994e-09
4500	8,73221325377e-06	-2,77118432721e-08
5400	6,31868535829e-06	-4,02254649246e-08
6300	5,5151211249e-06	-1,33927372231e-08
7200	6,47255531014e-06	1,59572364206e-08
8100	4,00325006964e-06	-4,11550873416e-08
9000	3,7024629004e-06	-5,01311948749e-09
9900	4,01434663802e-06	5,19806229367e-09
10800	3,21487006465e-06	-1,33246095562e-08
11700	3,4218837869e-06	3,45022870419e-09
12600	3,90807428653e-06	8,10317499384e-09
13500	4,53027328439e-06	1,03699832977e-08
14400	3,71873599746e-06	-1,35256214489e-08
15300	3,00453781854e-06	-1,1903302982e-08
16200	4,58664907365e-06	2,63685209185e-08
17100	3,55213318538e-06	-1,7241931471e-08
18000	3,28022777865e-06	-4,53175677892e-09
18900	3,65224226379e-06	6,20024141894e-09
19800	3,18927689567e-06	-7,71608946854e-09
20700	3,76714060012e-06	9,63106174073e-09
21600	4,50167814635e-06	1,22422924372e-08
22500	5,19963709305e-06	1,16326491117e-08
23400	5,43327190455e-06	3,89391352493e-09
24300	5,27464106584e-06	-2,64384731179e-09
25200	6,5587077192e-06	2,14011108894e-08
26100	7,05146406944e-06	8,21260583734e-09
27000	7,02209160248e-06	-4,89541116019e-10
27900	8,96641266953e-06	3,24053511174e-08
28800	1,41038569824e-05	8,56240718814e-08
29700	1,62443536803e-05	3,56749449651e-08
30600	4,18505250989e-05	4,26769523643e-07
31500	2,59911288706e-05	-2,64323270471e-07
32400	2,12893788287e-05	-7,83625006993e-08
33300	2,53045746153e-05	6,69199297773e-08
34200	1,64920192323e-05	-1,4687592305e-07
35100	3,35004128216e-05	2,83473226488e-07
36000	7,93766297993e-06	-4,26045830694e-07
36900	1,43036792731e-05	1,06100271553e-07
37800	2,08227636831e-05	1,08651406834e-07
38700	-2,2811740634e-07	-3,50848018158e-07
39600	-1,75470008108e-07	8,77456637197e-10
40500	-9,69824594444e-06	-1,58712932272e-07
41400	-1,22326255169e-05	-4,22396595406e-08
42300	-1,04206043002e-06	1,86509418114e-07
43200	-7,99106816983e-07	4,04922688387e-09
44100	-9,82349463579e-08	1,16811978437e-08
45000	-6,70155604461e-07	-9,53201096839e-09
45900	-5,51590357022e-07	1,97608745732e-09
46800	-2,63594549168e-07	4,7999301309e-09
47700	-1,36623061148e-06	-1,83772677051e-08
48600	-5,53903833969e-07	1,35387796251e-08
49500	-1,85172126437e-07	6,14552845887e-09
50400	-2,13233824469e-06	-3,24527686375e-08
51300	-3,04549766221e-07	3,04631413078e-08
52200	-2,10795181478e-06	-3,00567008093e-08
53100	8,68476945997e-06	1,79878687912e-07
54000	8,31635569847e-06	-6,14022935835e-09
54900	-2,21845369977e-05	-5,08348211603e-07
55800	4,72231778706e-06	4,48447579746e-07
56700	3,92898523185e-05	5,76125575524e-07
57600	1,60991715265e-05	-3,86511346533e-07
58500	4,6477045265e-07	-2,60573351231e-07
59400	6,31905506237e-07	2,78558422645e-09
60300	4,88191960681e-07	-2,39522575926e-09
61200	7,32060002429e-07	4,06446736246e-09
62100	5,71751822791e-07	-2,67180299396e-09
63000	5,77485503159e-07	9,55613394629e-11
63900	5,83431094916e-07	9,90931959422e-11
64800	3,4783535164e-05	5,70001734485e-07
65700	6,55637560112e-07	-5,68798293398e-07
66600	5,5395260977e-07	-1,69474917237e-09
67500	3,74063028033e-07	-2,99815969563e-09
68400	7,32224741714e-07	5,96936189468e-09
69300	5,87525756136e-07	-2,41164975962e-09
70200	8,38775152909e-07	4,18748994621e-09
71100	1,19623016548e-06	5,95758354293e-09
72000	1,17281845938e-06	-3,90195101742e-10
72900	1,05357566322e-06	-1,98737993601e-09
73800	8,3600370248e-07	-3,62619934565e-09
74700	7,28560473772e-07	-1,79072047847e-09
75600	4,72997429584e-07	-4,2593840698e-09
76500	4,92284600438e-07	3,21452847568e-10
77400	3,49693428411e-05	5,74617637345e-07
78300	5,21171320052e-07	-5,74136192018e-07
79200	3,49791657164e-05	5,74299906606e-07
80100	3,13847427305e-05	-5,99070497646e-08
81000	2,63601447343e-05	-8,37432999362e-08
81900	2,92263756123e-05	4,77705146323e-08
82800	2,02257647151e-05	-1,5001018162e-07
83700	1,65764483164e-05	-6,08219399784e-08
84600	1,68652740017e-05	4,8137614218e-09
85500	1,24266987599e-05	-7,39762540293e-08
86400	6,80487346668e-06	-9,36970882205e-08
87300	6,91848524165e-06	1,8935295828e-09
88200	6,41516438741e-06	-8,38868090401e-09
89100	4,61768143689e-06	-2,99580491754e-08
90000	3,49961053362e-06	-1,86345150545e-08
90900	4,29283013197e-06	1,32203266392e-08
91800	3,0951841346e-06	-1,99607666228e-08
92700	3,6532654792e-06	9,30135574333e-09
93600	3,83514132232e-06	3,03126405191e-09
