time	Vm	d/dt
0	9997,79831896	0
900	9996,84210791	-0,0159368509206
1800	10000,0	0,0526315348886
2700	9996,30871194	-0,0615214676005
3600	9996,33614093	0,000457149846625
4500	9996,75866952	0,00704214314122
5400	9997,2611049	0,00837392289377
6300	9997,51792049	0,00428025995598
7200	9997,16606515	-0,00586425576333
8100	9997,72876542	0,00937833789282
9000	9997,84893664	0,00200285364893
9900	9997,8093662	-0,000659507332633
10800	9998,02378351	0,00357362189213
11700	9997,91625467	-0,00179214747829
12600	9997,75919022	-0,00261774071235
13500	9997,60136212	-0,00263046842432
14400	9997,88896642	0,00479340506199
15300	9998,12531024	0,00393906366456
16200	9997,78847674	-0,00561389162264
17100	9997,91023869	0,00202936579029
18000	9997,90740404	-4,72441781919e-05
18900	9997,84563374	-0,00102950508447
19800	9998,00133762	0,00259506468962
20700	9997,81859563	-0,00304569978243
21600	9997,63040463	-0,00313651659499
22500	9997,48326873	-0,00245226509781
23400	9997,38008465	-0,00171973463202
24300	9997,47000612	0,00149869110386
25200	9997,15017863	-0,0053304580947
26100	9997,07622233	-0,00123260504085
27000	9997,10430992	0,000468126489856
27900	9996,73386682	-0,00617405164958
28800	9996,0022455	-0,0121936886065
29700	9995,37693843	-0,0104217844789
30600	9993,46000687	-0,0319488594643
31500	9994,2406549	0,0130108006405
32400	9995,3407109	0,0183342665338
33300	9994,982221	-0,00597483167818
34200	9995,50389808	0,00869461812439
35100	9993,49227335	-0,033527078848
36000	9997,02028667	0,0588002219544
36900	9996,34195136	-0,011305588538
37800	9995,05498978	-0,0214493595975
38700	10000,5661985	0,0918534783363
39600	10001,7831937	0,020283253922
40500	10003,0583949	0,0212533526111
41400	10004,2176881	0,0193215532696
42300	10020,2389698	0,267021361498
43200	10018,1510553	-0,0347985749475
44100	10008,9541696	-0,153281427784
45000	10014,6680423	0,0952312116224
45900	10014,3391896	-0,00548087783788
46800	10010,3569154	-0,0663712378144
47700	10022,222802	0,197764778137
48600	10014,4468423	-0,129599329275
49500	10009,9214567	-0,0754230929737
50400	10025,2514985	0,255500697274
51300	10010,0247364	-0,253779368661
52200	10001,2938821	-0,145514238502
53100	9996,58394036	-0,078499029277
54000	9996,70415825	0,00200363147227
54900	10005,4532275	0,145817821682
55800	9997,92808925	-0,125418971599
56700	9993,47444833	-0,0742273486775
57600	9995,85327336	0,0396470838703
58500	9992,91253723	-0,0490122687913
59400	9992,13271878	-0,0129969742001
60300	9992,3494585	0,00361232854548
61200	9991,41083198	-0,0156437753282
62100	9992,49441365	0,0180596946241
63000	9992,34730583	-0,00245179713511
63900	9992,74390402	0,00660996995302
64800	9993,51795316	0,0129008189264
65700	9992,05365063	-0,0244050421428
66600	9992,18165249	0,00213336428093
67500	9992,88474673	0,0117182373242
68400	9989,98524977	-0,0483249492656
69300	9990,96817097	0,0163820199503
70200	9989,76910007	-0,0199845148786
71100	9988,81976346	-0,0158222769725
72000	9988,36322827	-0,00760891973417
72900	9990,29377674	0,0321758078283
73800	9990,51599419	0,00370362409279
74700	9991,0189845	0,00838317191886
75600	9992,4769695	0,0242997499743
76500	9992,4538013	-0,00038613659511
77400	9993,47963625	0,0170972490266
78300	9992,9615325	-0,00863506243113
79200	9993,7694197	0,0134647867079
80100	9994,01114736	0,00402879424003
81000	9994,47745568	0,0077718054283
81900	9994,19955047	-0,00463175360953
82800	9995,24019981	0,0173441557459
83700	9995,43044589	0,0031707680035
84600	9995,53157403	0,00168546903642
85500	9996,00592943	0,007905923211
86400	9996,95450263	0,0158095534301
87300	9997,10512193	0,00251032157333
88200	9997,10761409	4,1536092067e-05
89100	9997,5134923	0,00676463677555
90000	9997,80517617	0,00486139782703
90900	9997,69686041	-0,00180526267535
91800	9998,05499096	0,00596884257793
92700	9997,84845082	-0,00344233567418
93600	9997,79277859	-0,000927870609879
94500	9997,90842042	0,00192736389396
95400	9997,99907599	0,0015109261751
96300	9998,1855974	0,00310869010142
97200	9998,08207981	-0,00172529302436
98100	9998,01819036	-0,00106482417426
99000	9997,98767504	-0,000508588765145
99900	9997,96492839	-0,000379110846219
100800	9998,27599358	0,00518441996267
101700	9998,06511615	-0,00351462387592
102600	9997,95442563	-0,0018448420873
103500	9998,07061968	0,00193656755176
104400	9997,62291143	-0,00746180416921
105300	9997,67909415	0,000936378739395
106200	9997,62250995	-0,000943070146241
107100	9997,11339575	-0,00848523665933
108000	9996,18523103	-0,0154694119647
108900	9996,08010986	-0,00175201938952
109800	9995,38319505	-0,0116152469054
110700	9995,16646544	-0,00361216009157
111600	9994,70726943	-0,0076532668334
112500	9994,77485721	0,00112646289569
113400	9994,11128959	-0,01105946034
114300	9994,0463431	-0,00108244139983
115200	9992,66787145	-0,0229745275423
116100	9992,33593815	-0,00553222176992
117000	9991,52804431	-0,0134648972008
117900	9993,93412659	0,040101371249
118800	9992,59189255	-0,0223705672721
119700	9996,74916359	0,069287850649
120600	10008,7746884	0,200425414027
121500	9995,85061284	-0,21540125981
122400	10007,7410122	0,198173322442
123300	10010,443616	0,0450433974029
124200	10010,4067885	-0,00061379272344
125100	10015,4047598	0,083299522684
126000	10013,5351522	-0,0311601279812
126900	10013,8771371	0,0056997489042
127800	10011,8105193	-0,0344436292847
128700	10015,1236216	0,0552183706525
129600	10014,4912537	-0,0105394652693
130500	10011,9382949	-0,0425493128837
131400	10012,2869143	0,00581032395758
132300	10012,180109	-0,00178008893296
133200	10011,178577	-0,0166921999491
134100	10006,6891435	-0,0748238911826
135000	10010,0792168	0,0565012221792
135900	10012,0419343	0,0327119571952
136800	10008,0940985	-0,0657972628691
137700	10015,0034467	0,115155803544
138600	10018,7475731	0,0624021067723
139500	10007,1605797	-0,193116557179
140400	10003,3760133	-0,0630761064297
141300	9998,6286536	-0,0791226617814
142200	9999,69966663	0,017850217138
143100	9998,33839169	-0,0226879156418
144000	9994,38775401	-0,0658439614076
144900	9994,57027272	0,00304197861763
145800	9995,1650494	0,00991294461558
146700	9993,64635033	-0,0253116512149
147600	9993,65869778	0,000205790850153
148500	9992,60069377	-0,0176334000499
149400	9991,11918147	-0,0246918718112
150300	9992,30382515	0,0197440613565
151200	9991,01856592	-0,0214209870508
152100	9991,08529262	0,00111211163151
153000	9990,99432411	-0,0015161418222
153900	9990,28569404	-0,0118105012274
154800	9990,03231586	-0,00422296973205
155700	9990,19630129	0,00273309058324
156600	9990,85271284	0,0109401925133
157500	9990,05903549	-0,013227955813
158400	9990,61727548	0,00930399978197
159300	9990,98392161	0,00611076886917
160200	9992,68014565	0,0282704006856
161100	9992,54936657	-0,00217965140185
162000	9993,03968584	0,0081719879433
162900	9992,82291052	-0,00361292215675
163800	9992,9721844	0,00248789811843
164700	9993,67445126	0,0117044475656
165600	9993,8131924	0,00231235233429
166500	9993,7808328	-0,000539326626131
167400	9994,27888132	0,00830080864428
168300	9994,79353196	0,00857751077228
169200	9994,5811545	-0,00353962431594
170100	9994,61771657	0,000609367682015
171000	9995,42726274	0,0134924362568
171900	9995,41450108	-0,000212694424893
172800	9995,48046458	0,00109939168221
173700	9996,08668297	0,0101036398579
174600	9995,72710103	-0,00599303237374
175500	9996,54263861	0,0135922931195
176400	9996,99684146	0,00757004743846
177300	9997,02513176	0,000471504983307
178200	9997,24879514	0,00372772300234
179100	9996,81073936	-0,00730092957301
180000	9997,32639663	0,00859428770136
180900	9997,73277562	0,00677298320519
181800	9997,79941403	0,00111064019363
182700	9997,79799902	-2,35834545795e-05
183600	9997,74292731	-0,00091786196017
184500	9997,9248888	0,00303269164075
185400	9997,70050407	-0,00373974562026
186300	9998,10479183	0,00673812936757
187200	9997,95502544	-0,00249610650156
188100	9998,02507076	0,00116742200162
189000	9998,00947254	-0,000259970312012
189900	9998,06405284	0,000909671617713
190800	9998,06868193	7,71514976501e-05
191700	9997,84279852	-0,00376472337072
192600	9997,58847201	-0,00423877530981
