2019-01-29 16:04:39.449295;hr64;state;0
2019-01-29 16:04:39.449732;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.449917;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:39.450073;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.450223;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:39.450362;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.450497;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:39.450650;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.450789;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:39.945961;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.946213;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:39.946363;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.946504;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:39.946641;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.946775;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:39.946909;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:39.947042;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:40.443093;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.443330;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:40.443472;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.443600;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:40.443726;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.443851;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:40.443973;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.444095;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:40.941737;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.941995;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:40.942144;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.942278;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:40.942409;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.942537;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:40.942665;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:40.942793;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:41.439763;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.440000;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:41.440145;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.440279;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:41.440410;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.440539;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:41.440667;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.440805;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:41.942583;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.942822;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:41.942972;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.943111;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:41.943247;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.943381;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:41.943514;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:41.943646;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:42.438951;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.439194;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:42.439341;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.439477;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:42.439608;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.439737;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:42.439866;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.439992;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:42.942248;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.942521;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:42.942686;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.942871;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:42.943003;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.943129;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:42.943264;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:42.943403;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:43.441886;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.442187;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:43.442342;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.442524;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:43.442703;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.442898;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:43.443029;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.443155;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:43.942628;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.942871;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:43.943011;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.943140;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:43.943266;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.943390;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:43.943512;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:43.943633;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:44.443982;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.444215;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:44.444360;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.444493;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:44.444623;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.444751;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:44.444878;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.445003;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:44.939958;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.940296;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:44.940566;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.940746;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:44.940887;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.941019;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:44.941149;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:44.941278;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:45.439090;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.439319;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:45.439464;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.439662;sensor_2-branch_24;I_real;0.021456788354053017
2019-01-29 16:04:45.439898;sensor_3-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.440073;sensor_3-branch_25;I_real;0.09378379788543047
2019-01-29 16:04:45.440232;sensor_4-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.440373;sensor_4-branch_36;I_real;0.06202412896183024
2019-01-29 16:04:45.940342;sensor_1-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.940640;sensor_1-branch_19;I_real;0.17726471529971943
2019-01-29 16:04:45.940786;sensor_2-node_b5;Vm;10499.624070368354
2019-01-29 16:04:45.940916;sensor_2-branch_24;I_real;0.021456788354053017
