time	Va	d/dt
0	-0,000679651489836	0
900	-0,000975921492725	-4,93783338149e-06
1800	-0,000323220428414	1,08783510719e-05
2700	-0,00114067186117	-1,3624190546e-05
3600	-0,00113333876245	1,22218312086e-07
4500	-0,00100177138811	2,19278957225e-06
5400	-0,000845850387121	2,59868334984e-06
6300	-0,000766078283343	1,32953506297e-06
7200	-0,000874942826247	-1,8144090484e-06
8100	-0,000701734958979	2,88679778779e-06
9000	-0,000664781769686	6,15886488214e-07
9900	-0,000676250650663	-1,91148016282e-07
10800	-0,000610403519691	1,09745218286e-06
11700	-0,000643801343318	-5,56630393782e-07
12600	-0,000692213363084	-8,06866996102e-07
13500	-0,0007410374535	-8,13734840262e-07
14400	-0,000652208589621	1,48048106465e-06
15300	-0,000578999464726	1,22015208158e-06
16200	-0,000682608850534	-1,72682309681e-06
17100	-0,000645463445359	6,19090086253e-07
18000	-0,000646540105563	-1,7944336724e-08
18900	-0,000665638575122	-3,18307825996e-07
19800	-0,000617701441654	7,98952224478e-07
20700	-0,000673910139626	-9,36811632869e-07
21600	-0,000731631438397	-9,62021646189e-07
22500	-0,000777353692124	-7,62037562116e-07
23400	-0,000809340676301	-5,33116402952e-07
24300	-0,0007818990324	4,57360731695e-07
25200	-0,000880586184046	-1,64478586077e-06
26100	-0,000902807847615	-3,7036105948e-07
27000	-0,000894219692246	1,43135922807e-07
27900	-0,0010082577319	-1,90063399429e-06
28800	-0,0012339267156	-3,76114972819e-06
29700	-0,00142972937138	-3,2633775964e-06
30600	-0,00201742000915	-9,7948439628e-06
31500	-0,0017777142408	3,99509613918e-06
32400	-0,00143737152309	5,67237862841e-06
33300	-0,00154813309856	-1,8460262578e-06
34200	-0,00138940549443	2,64546006891e-06
35100	-0,00201221007932	-1,03800764149e-05
36000	-0,000918203962893	1,82334352738e-05
36900	-0,00112154491519	-3,38901587155e-06
37800	-0,00151933254281	-6,62979379376e-06
38700	0,000183662484928	2,83832504623e-05
39600	0,000566700160907	6,38396126632e-06
40500	0,00095481794771	6,46862978004e-06
41400	0,00131707536984	6,03762370222e-06
42300	0,00628178129179	8,27450986992e-05
43200	0,00563723448228	-1,07424468252e-05
44100	0,00278064710219	-4,76097896682e-05
45000	0,00455531623038	2,95778188033e-05
45900	0,00444703489707	-1,80468888858e-06
46800	0,00321720807207	-2,04971137499e-05
47700	0,00690524925146	6,14673529898e-05
48600	0,00449667015663	-4,01429849139e-05
49500	0,00308475090004	-2,35319876098e-05
50400	0,00783524983798	7,91749822991e-05
51300	0,00311224657891	-7,87167209845e-05
52200	0,000408505233466	-4,50623557574e-05
53100	-0,00105080402648	-2,43218209991e-05
54000	-0,0010133122977	6,24862146321e-07
54900	0,00169486291399	4,51362535281e-05
55800	-0,000634891990605	-3,88292484098e-05
56700	-0,00201268496562	-2,29632162502e-05
57600	-0,00127887926825	1,22300949561e-05
58500	-0,00218796453257	-1,5151421072e-05
59400	-0,00242839631213	-4,00719632595e-06
60300	-0,00236495245524	1,05739761485e-06
61200	-0,00265225658761	-4,78840220619e-06
62100	-0,00231859937295	5,5609535777e-06
63000	-0,00236421153501	-7,6020270112e-07
63900	-0,00223942408472	2,07979083818e-06
64800	-0,00200076255566	3,97769215104e-06
65700	-0,00245209980721	-7,52228752587e-06
66600	-0,00241462566234	6,24569081276e-07
67500	-0,00219841432584	3,60352227494e-06
68400	-0,00309622639254	-1,4963534445e-05
69300	-0,00279208980455	5,06894313329e-06
70200	-0,00316235992652	-6,17116869963e-06
71100	-0,00345054469752	-4,80307951662e-06
72000	-0,00359181794204	-2,35455407525e-06
72900	-0,00299585182689	9,93276858578e-06
73800	-0,00292860683192	1,12074991615e-06
74700	-0,00277391265422	2,57823629496e-06
75600	-0,00232523870798	7,47789910402e-06
76500	-0,00233108093703	-9,7370484069e-08
77400	-0,00201291110195	5,30283058462e-06
78300	-0,00217336284429	-2,67419570578e-06
79200	-0,00192338372807	4,16631860382e-06
80100	-0,00184828133955	1,25170647533e-06
81000	-0,00170487572822	2,39009352202e-06
81900	-0,00179066682737	-1,42985165252e-06
82800	-0,00146891377248	5,36255091487e-06
83700	-0,00141077914675	9,68910428899e-07
84600	-0,00137957358923	5,20092625306e-07
85500	-0,00123344806036	2,43542548119e-06
86400	-0,000941887974742	4,85933476028e-06
87300	-0,000894453366456	7,9057680477e-07
88200	-0,000894112905645	5,67434685206e-09
89100	-0,000768754229939	2,08931126176e-06
90000	-0,000678608750082	1,50242466429e-06
90900	-0,000711387211421	-5,46307688992e-07
91800	-0,00060085805385	1,84215262619e-06
92700	-0,000664554377041	-1,06160538652e-06
93600	-0,000681475656248	-2,82021320111e-07
